Категория,Услуга,Цена
Сезонний шиномонтаж,R13 (4 Колеса),600
Сезонний шиномонтаж,R14 (4 Колеса),650
Сезонний шиномонтаж,R15 (4 Колеса),700
Сезонний шиномонтаж,R16 (4 Колеса),750
Сезонний шиномонтаж,R17 (4 Колеса),800
Сезонний шиномонтаж,R18 (4 Колеса),850
Сезонний шиномонтаж,R19 (4 Колеса),900
Ремонт ходової,Заміна стійки стабілізатора (1шт) Перед,350
Ремонт ходової,Заміна стійки стабілізатора (1шт) Зад,350
Ремонт ходової,Заміна втулки стабілізатора (пара) перед,594
Ремонт ходової,Заміна втулки стабілізатора (пара) зад,594
Ремонт ходової,Заміна втулки стабілізатора з опусканням підрамника (пара),1100
Ремонт ходової,Заміна втулки стабілізатора зі зняттям стабілізатора (приклеєні втулки),2 500
